timestamp_local,elapsed_s,type,mv,adc,mv_peak,adc_peak,baseline_adc,dead_us,lat,lon,temp_C,pressure_hPa
2025-10-27T10:16:12.655353+02:00,1.646,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.661305+02:00,1.647,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.667257+02:00,1.733,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.673201+02:00,1.734,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.679153+02:00,1.734,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.685105+02:00,1.734,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.691057+02:00,1.735,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.697009+02:00,1.735,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.702953+02:00,1.735,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.708905+02:00,1.736,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.714849+02:00,1.736,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.720801+02:00,1.736,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.726761+02:00,1.737,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.732705+02:00,1.737,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.738657+02:00,1.737,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.744601+02:00,1.738,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.750552999+02:00,1.738,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.756505+02:00,1.738,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.762473+02:00,1.826,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.768401+02:00,1.827,sample,845.55,173,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.774353+02:00,1.827,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.780305+02:00,1.828,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.786257+02:00,1.828,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.792209+02:00,1.828,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.798161+02:00,1.828,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.804105+02:00,1.829,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.810049+02:00,1.829,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.816009+02:00,1.829,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.821961+02:00,1.830,sample,860.22,176,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.827905+02:00,1.830,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.833857+02:00,1.830,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.839801+02:00,1.831,sample,845.55,173,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.845753+02:00,1.831,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.851705+02:00,1.905,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.857657+02:00,1.906,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.863601+02:00,1.906,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.869553+02:00,1.907,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.875505+02:00,1.907,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.881457+02:00,1.907,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.887409+02:00,1.908,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.893353+02:00,1.908,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.899305+02:00,1.908,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.905257+02:00,1.908,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.911209+02:00,1.909,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.917161+02:00,1.909,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.923105+02:00,1.909,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.929057+02:00,1.998,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.935001+02:00,1.999,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.940953+02:00,1.999,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.946913+02:00,2.000,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.952857+02:00,2.000,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.958801+02:00,2.000,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.964753+02:00,2.001,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.970705+02:00,2.001,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.976649+02:00,2.001,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.982609+02:00,2.002,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.988552999+02:00,2.002,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:12.994505+02:00,2.002,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.000449+02:00,2.003,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.006401+02:00,2.003,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.012361+02:00,2.003,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.018313+02:00,2.004,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.024257+02:00,2.090,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.030201+02:00,2.091,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.036161+02:00,2.091,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.042113+02:00,2.091,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.048049+02:00,2.092,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.054001+02:00,2.092,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.059953+02:00,2.092,sample,845.55,173,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.065905+02:00,2.093,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.071857+02:00,2.093,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.077801+02:00,2.093,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.083753+02:00,2.094,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.089705+02:00,2.094,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.095657+02:00,2.094,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.101601+02:00,2.094,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.107561+02:00,2.095,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.113505+02:00,2.183,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.119457+02:00,2.184,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.125401+02:00,2.184,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.131361+02:00,2.185,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.137313+02:00,2.185,sample,850.44,174,,,,,-33.925800,18.423200,14.60,1024.4
2025-10-27T10:16:13.143257+02:00,2.185,sample,855.33,175,,,,,-33.925800,18.423200,14.60,1024.4
